Number,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,Pbar,H2O,TempC,H2O,,TempC,H2O
1,48,0.66,18.9,8.22,0.18,18.7,10.6,2.76,0.11,2000,0,1441.35136231576,0,,800,8.56897332860799
2,48,0.66,18.9,8.22,0.18,18.7,10.6,2.76,0.11,2000,0.5,1426.68058907906,0.5,,810,8.31729555423569
3,48,0.66,18.9,8.22,0.18,18.7,10.6,2.76,0.11,2000,1,1412.30545913253,1,,820,8.07108468472498
4,48,0.66,18.9,8.22,0.18,18.7,10.6,2.76,0.11,2000,1.5,1398.21712498195,1.5,,830,7.83019909690615
5,48,0.66,18.9,8.22,0.18,18.7,10.6,2.76,0.11,2000,2,1384.40708867602,2,,840,7.59448869769586
6,48,0.66,18.9,8.22,0.18,18.7,10.6,2.76,0.11,2000,2.5,1370.86718471315,2.5,,850,7.36379603498809
7,48,0.66,18.9,8.22,0.18,18.7,10.6,2.76,0.11,2000,3,1357.58956394168,3,,860,7.13795757775771
8,48,0.66,18.9,8.22,0.18,18.7,10.6,2.76,0.11,2000,3.5,1344.56667838672,3.5,,870,6.91680514708032
9,48,0.66,18.9,8.22,0.18,18.7,10.6,2.76,0.11,2000,4,1331.79126694195,4,,880,6.70016746808088
10,48,0.66,18.9,8.22,0.18,18.7,10.6,2.76,0.11,2000,4.5,1319.25634186949,4.5,,890,6.48787180427077
11,48,0.66,18.9,8.22,0.18,18.7,10.6,2.76,0.11,2000,5,1306.95517605502,5,,900,6.27974563059164
12,48,0.66,18.9,8.22,0.18,18.7,10.6,2.76,0.11,2000,5.5,1294.88129096936,5.5,,910,6.07561829956057
13,48,0.66,18.9,8.22,0.18,18.7,10.6,2.76,0.11,2000,6,1283.02844529117,6,,920,5.87532265589141
14,48,0.66,18.9,8.22,0.18,18.7,10.6,2.76,0.11,2000,6.5,1271.39062414894,6.5,,930,5.67869655833369
15,48,0.66,18.9,8.22,0.18,18.7,10.6,2.76,0.11,2000,7,1259.96202894307,7,,940,5.48558427263358
16,48,0.66,18.9,8.22,0.18,18.7,10.6,2.76,0.11,2000,7.5,1248.73706771214,7.5,,950,5.29583770594809
17,48,0.66,18.9,8.22,0.18,18.7,10.6,2.76,0.11,2000,8,1237.71034600947,8,,960,5.1093174601855
18,48,0.66,18.9,8.22,0.18,18.7,10.6,2.76,0.11,2000,8.5,1226.87665825893,8.5,,970,4.92589368925002
19,48,0.66,18.9,8.22,0.18,18.7,10.6,2.76,0.11,2000,9,1216.2309795607,9,,980,4.74544675257974
20,48,0.66,18.9,8.22,0.18,18.7,10.6,2.76,0.11,2000,9.5,1205.76845792002,9.5,,990,4.56786766450012
21,48,0.66,18.9,8.22,0.18,18.7,10.6,2.76,0.11,2000,10,1195.48440687362,10,,1000,4.39305834541899
,,,,,,,,,,,,,,,1010,4.22093168658644
,,,,,,,,,,,,,,,1020,4.05141144481282
,,,,,,,,,,,,,,,1030,3.88443198700096
,,,,,,,,,,,,,,,1040,3.71993790647699
,,,,,,,,,,,,,,,1050,3.55788353380209
,,,,,,,,,,,,,,,1060,3.39823236400982
,,,,,,,,,,,,,,,1070,3.24095642005561
,,,,,,,,,,,,,,,1080,3.08603556877093
,,,,,,,,,,,,,,,1090,2.93345680091119
,,,,,,,,,,,,,,,1100,2.78321348108335
,,,,,,,,,,,,,,,1110,2.63530456655687
,,,,,,,,,,,,,,,1120,2.48973378630805
,,,,,,,,,,,,,,,1130,2.34650876314673
,,,,,,,,,,,,,,,1140,2.20564005248108
,,,,,,,,,,,,,,,1150,2.0671400611977
,,,,,,,,,,,,,,,1160,1.93102179928321
,,,,,,,,,,,,,,,1170,1.79729740534481
,,,,,,,,,,,,,,,1180,1.66597637546969
,,,,,,,,,,,,,,,1190,1.53706341354433
,,,,,,,,,,,,,,,1200,1.41055581162775
,,,,,,,,,,,,,,,1210,1.28644026352608
,,,,,,,,,,,,,,,1220,1.16468901718154
,,,,,,,,,,,,,,,1230,1.04525528753633
,,,,,,,,,,,,,,,1240,0.928067889990913
,,,,,,,,,,,,,,,1250,0.813025126959541
,,,,,,,,,,,,,,,1260,0.699988081459462
,,,,,,,,,,,,,,,1270,0.588773658289468
,,,,,,,,,,,,,,,1280,0.479147978265842
,,,,,,,,,,,,,,,1290,0.370821073924588
,,,,,,,,,,,,,,,1300,0.263444226636199
